t,des_x,des_y,act_x,act_y,v,omega
18.396382,2.873157,9.225783,2.744613,9.510445,0.508199,-1.193210
18.496387,2.887583,9.198985,2.748233,9.510120,0.758039,-1.054571
18.596362,2.902008,9.170407,2.761933,9.507116,0.800000,-0.939449
18.696348,2.916440,9.140075,2.784778,9.498500,0.800000,-0.837122
18.796389,2.930884,9.108010,2.815198,9.481585,0.800000,-0.739922
18.896386,2.945327,9.074280,2.838648,9.464539,0.800000,-0.674606
18.996397,2.959776,9.038904,2.876669,9.428887,0.800000,-0.574787
19.096413,2.974230,9.001919,2.915478,9.379884,0.800000,-0.471280
19.196405,2.988685,8.963375,2.951628,9.317099,0.800000,-0.365129
19.296392,3.003145,8.923300,2.982278,9.245268,0.800000,-0.312317
19.396371,3.017607,8.881733,3.010007,9.169032,0.800000,-0.305136
19.496380,3.032079,8.838694,3.034814,9.091694,0.800000,-0.302094
19.596369,3.046553,8.794241,3.056774,9.013520,0.800000,-0.299417
19.696394,3.061036,8.748385,3.075841,8.934633,0.749347,-0.294768
19.796414,3.075524,8.701181,3.091390,8.857908,0.626196,-0.277671
19.896371,3.090007,8.652694,3.102998,8.786380,0.534824,-0.237085
19.996359,3.104500,8.602915,3.110762,8.724526,0.490614,-0.158392
20.096378,3.119002,8.551880,3.115606,8.672218,0.490341,-0.051492
20.196356,3.133503,8.499663,3.119261,8.622257,0.503164,0.042054
20.296352,3.148011,8.446269,3.122737,8.571416,0.516827,0.128868
20.396430,3.162536,8.391699,3.125154,8.536777,0.606186,0.174309
20.496365,3.177045,8.336113,3.129256,8.483015,0.618699,0.224370
20.596424,3.191577,8.279400,3.134342,8.421515,0.602754,0.283191
20.696427,3.206106,8.221697,3.140837,8.359853,0.594071,0.315171
20.796423,3.220639,8.163014,3.148972,8.299549,0.596837,0.326011
20.896420,3.235177,8.103381,3.159024,8.239657,0.605439,0.319230
20.996417,3.249721,8.042837,3.171187,8.179476,0.615317,0.298416
21.096383,3.264264,7.981437,3.185411,8.119163,0.625757,0.265603
21.196370,3.278816,7.919186,3.201795,8.057924,0.632491,0.223886
21.296419,3.293382,7.856093,3.220023,7.996364,0.637718,0.174298
21.396412,3.307945,7.792270,3.239786,7.934667,0.641876,0.119035
21.496416,3.322515,7.727711,3.260743,7.872873,0.645749,0.060612
21.596404,3.337088,7.662469,3.282534,7.810923,0.649766,0.002250
21.696372,3.351663,7.596585,3.304794,7.748695,0.654358,-0.052919
21.796356,3.366245,7.530071,3.327167,7.686032,0.659956,-0.102169
21.896390,3.380840,7.462940,3.342002,7.643996,0.766101,-0.133272
21.996429,3.395441,7.395259,3.364840,7.578578,0.764528,-0.180672
